Year,Country,Tile,Patch,Unique Labels
2019,France,31TCJ,2019_31TCJ_patch_17_28.nc,"[770, 170, 330, 140, 110, 435, 150, 438, 510]"
2019,France,31TCJ,2019_31TCJ_patch_22_02.nc,"[770, 170, 330, 140, 110, 435, 150, 438, 510]"
2019,France,31TCJ,2019_31TCJ_patch_14_06.nc,"[170, 330, 140, 110, 435, 150, 438, 510]"
2019,France,31TCJ,2019_31TCJ_patch_09_09.nc,"[170, 140, 110, 435, 150, 438, 120]"
2019,France,31TCJ,2019_31TCJ_patch_05_01.nc,"[170, 140, 110, 435, 150, 438, 510]"
2019,France,31TCJ,2019_31TCJ_patch_26_24.nc,"[770, 170, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_21_04.nc,"[160, 770, 170, 140, 110, 435, 150, 438, 120, 510]"
2019,France,31TCJ,2019_31TCJ_patch_11_20.nc,"[330, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_06_01.nc,"[330, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_02_09.nc,"[170, 330, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_17_17.nc,"[770, 170, 330, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_24_01.nc,"[170, 330, 140, 110, 150, 438, 120, 510]"
2019,France,31TCJ,2019_31TCJ_patch_06_04.nc,"[770, 170, 330, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_09_28.nc,"[170, 140, 110, 435, 150, 438, 120]"
2019,France,31TCJ,2019_31TCJ_patch_23_20.nc,"[770, 170, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_28_16.nc,"[170, 330, 140, 110, 435, 150, 438, 510]"
2019,France,31TCJ,2019_31TCJ_patch_15_02.nc,"[170, 330, 140, 110, 435, 150, 438, 510]"
2019,France,31TCJ,2019_31TCJ_patch_16_26.nc,"[770, 170, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_11_00.nc,"[170, 330, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_04_16.nc,"[770, 170, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_28_20.nc,"[770, 170, 330, 140, 110, 435, 150, 438, 120]"
2019,France,31TCJ,2019_31TCJ_patch_18_22.nc,"[110, 435, 150, 438, 120]"
2019,France,31TCJ,2019_31TCJ_patch_05_12.nc,"[170, 330, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_18_08.nc,"[150, 140, 438, 110]"
2019,France,31TCJ,2019_31TCJ_patch_02_27.nc,"[170, 330, 140, 110, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_07_21.nc,"[170, 330, 140, 110, 435, 150, 438, 120]"
2019,France,31TCJ,2019_31TCJ_patch_02_26.nc,"[170, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_28_17.nc,"[140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_27_22.nc,"[160, 770, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_23_08.nc,"[770, 170, 330, 140, 110, 435, 150, 438, 120]"
2019,France,31TCJ,2019_31TCJ_patch_18_02.nc,"[770, 170, 330, 110, 435, 150, 438, 120]"
2019,France,31TCJ,2019_31TCJ_patch_24_24.nc,"[770, 140, 110, 435, 150, 438, 510]"
2019,France,31TCJ,2019_31TCJ_patch_11_18.nc,"[770, 170, 330, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_19_21.nc,"[330, 140, 110, 150, 510]"
2019,France,31TCJ,2019_31TCJ_patch_18_17.nc,"[170, 140, 110, 435, 150]"
2019,France,31TCJ,2019_31TCJ_patch_26_00.nc,"[170, 110, 150]"
2019,France,31TCJ,2019_31TCJ_patch_08_25.nc,"[170, 330, 140, 110, 435, 150, 438, 510]"
2019,France,31TCJ,2019_31TCJ_patch_10_29.nc,"[170, 330, 140, 110, 435, 150, 438, 120]"
2019,France,31TCJ,2019_31TCJ_patch_07_26.nc,"[170, 140, 110, 435, 150, 438, 120]"
2019,France,31TCJ,2019_31TCJ_patch_26_03.nc,"[170, 330, 140, 110, 150, 438, 120]"
2019,France,31TCJ,2019_31TCJ_patch_11_15.nc,"[770, 170, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_24_17.nc,"[170, 330, 140, 110, 435, 150, 438]"
2019,France,31TCJ,2019_31TCJ_patch_06_10.nc,"[170, 140, 110, 435, 150, 438]"
2019,France,31TCL,2019_31TCL_patch_22_19.nc,"[120, 170, 150, 110]"
2019,France,31TCL,2019_31TCL_patch_23_17.nc,"[160, 170, 110, 150, 120, 510]"
2019,France,31TCL,2019_31TCL_patch_20_20.nc,"[170, 140, 110, 150, 120, 510]"
2019,France,31TCL,2019_31TCL_patch_12_07.nc,"[160, 170, 110, 150, 120, 510]"
2019,France,31TCL,2019_31TCL_patch_15_15.nc,"[170, 110, 435, 150, 438, 120]"
2019,France,31TCL,2019_31TCL_patch_26_06.nc,"[120, 170, 150, 110]"
2019,France,31TCL,2019_31TCL_patch_25_00.nc,"[120, 170, 110]"
2019,France,31TCL,2019_31TCL_patch_20_16.nc,"[160, 170, 110, 435, 150, 120]"
2019,France,31TCL,2019_31TCL_patch_28_01.nc,"[160, 170, 110, 150, 120]"
2019,France,31TCL,2019_31TCL_patch_04_11.nc,"[120, 170, 150]"
2019,France,31TCL,2019_31TCL_patch_09_25.nc,"[160, 170, 110, 435, 150, 438, 120]"
2019,France,31TCL,2019_31TCL_patch_24_02.nc,"[120, 170, 150, 110]"
2019,France,31TCL,2019_31TCL_patch_17_21.nc,"[170, 110, 150, 438, 120, 510]"
2019,France,31TCL,2019_31TCL_patch_25_16.nc,"[120, 170, 150, 110]"
2019,France,31TCL,2019_31TCL_patch_03_01.nc,"[120, 170, 330, 110]"
2019,France,31TCL,2019_31TCL_patch_11_22.nc,"[160, 170, 140, 110, 435, 150, 438, 120]"
2019,France,31TCL,2019_31TCL_patch_13_13.nc,"[120, 170, 150, 110]"
2019,France,31TCL,2019_31TCL_patch_19_00.nc,"[170, 150]"
2019,France,31TCL,2019_31TCL_patch_20_05.nc,"[120, 170, 150, 110]"
2019,France,31TCL,2019_31TCL_patch_25_25.nc,"[120, 170, 150, 110]"
2019,France,31TCL,2019_31TCL_patch_10_15.nc,"[170, 110, 435, 150, 120, 510]"
2019,France,31TCL,2019_31TCL_patch_29_27.nc,"[160, 170, 110, 150, 120, 510]"
2019,France,31TCL,2019_31TCL_patch_01_23.nc,"[330, 110, 150, 438, 120]"
2019,France,31TCL,2019_31TCL_patch_06_01.nc,"[160, 770, 170, 330, 140, 110, 438, 120, 510]"
2019,France,31TCL,2019_31TCL_patch_16_02.nc,"[160, 170, 140, 110, 435, 150, 120, 510]"
2019,France,31TCL,2019_31TCL_patch_20_26.nc,"[170, 330, 110, 150, 438, 120, 510]"
2019,France,31TCL,2019_31TCL_patch_03_05.nc,"[120, 170, 140, 110]"
2019,France,31TCL,2019_31TCL_patch_12_25.nc,"[170, 330, 140, 110, 150]"
2019,France,31TCL,2019_31TCL_patch_07_29.nc,"[170, 330, 140, 110, 435, 150, 438, 120]"
2019,France,31TCL,2019_31TCL_patch_11_25.nc,"[170, 330, 110, 150, 120]"
2019,France,31TCL,2019_31TCL_patch_23_09.nc,"[120, 170, 150, 110]"
2019,France,31TCL,2019_31TCL_patch_19_18.nc,"[120, 170, 150, 110]"
2019,France,31TCL,2019_31TCL_patch_18_15.nc,"[170, 110, 435, 150, 120, 510]"
2019,France,31TCL,2019_31TCL_patch_15_23.nc,"[120, 170, 140, 110]"
2019,France,31TCL,2019_31TCL_patch_23_04.nc,"[120, 170, 150, 110]"
